" 表 13-12 勞工保險受聘僱外國人職業災害保險給付人次─按災害類型及國籍分","","","","",""," Table 13-12 Occupational Injuries Benefits of the Employed Foreign Workers","","","","",""," 表 13-12 勞工保險受聘僱外國人職業災害保險給付人次─按災害類型及國籍分(續)  ˉ","","","","",""," Table 13-12 Occupational Injuries Benefits of the Employed Foreign Workers","","","","","",
,,,,,,""," under Labor Insurance by Cause and Nationality","","","","",,,,,,,""," under Labor Insurance by Cause and Nationality(Cont.)  ˉ","","","","",
"","","  中華民國105年","",""," 單位：人次","","","   2016","",""," Unit：Person-case","","","  中華民國105年","",""," 單位：人次","","","   2016","",""," Unit：Person-case",
"  項　　目　　別",""," 總      計"," 墜落、滾落"," 跌      倒"," 衝      撞"," 物 體 飛 落  物體倒塌、崩塌",""," 被      撞"," 被夾、被捲"," 被切、割、擦傷"," 踩      踏","  項　　目　　別",""," 溺      水"," 與高溫、低溫之接觸"," 與有害物之接觸"," 感      電"," 爆      炸"," 物 體 破 裂"," 火      災"," 不 當 動 作"," 其      他"," 無 法 歸 類 者",
"  Item",""," Grand total"," Falling down"," Mater dropping"," Crash or dash"," Mater flying down"," Cave-in"," Crashed"," Rolling - up"," Cutting"," Tread down","  Item",""," Drown"," temperature Hot or low"," Contact with hazard"," Electrical accident"," Explosion"," Breaking"," Fire"," Improper act"," Others"," Non- classified",
" 總　　　計"," Grand total","1481","37","53","24","69","17","39","901","221","5"," 總　　　計"," Grand total","0","43","10","4","8","4","1","38","2","5",
" 　印尼"," Indonesia","290","5","9","1","14","3","14","185","46","3"," 　印尼"," Indonesia","0","4","2","1","0","0","0","2","1","0",
" 　日本"," Japan","1","0","0","0","0","0","0","1","0","0"," 　日本"," Japan","0","0","0","0","0","0","0","0","0","0",
" 　韓國"," Korea, R.O.","1","0","0","0","0","0","0","0","1","0"," 　韓國"," Korea, R.O.","0","0","0","0","0","0","0","0","0","0",
" 　馬來西亞"," Malaysia","3","0","1","0","0","0","0","1","0","0"," 　馬來西亞"," Malaysia","0","1","0","0","0","0","0","0","0","0",
" 　菲律賓"," Philippines","131","2","5","3","7","0","3","80","18","1"," 　菲律賓"," Philippines","0","5","2","0","1","0","0","4","0","0",
" 　泰國"," Thailand","238","8","5","5","15","6","5","147","27","0"," 　泰國"," Thailand","0","8","2","1","1","1","0","7","0","0",
" 　越南"," Vietnam","752","17","22","13","31","7","16","470","120","1"," 　越南"," Vietnam","0","21","4","2","6","1","1","16","1","3",
" 　荷蘭"," Holland","1","0","0","0","0","0","0","0","0","0"," 　荷蘭"," Holland","0","0","0","0","0","0","0","1","0","0",
" 　烏克蘭"," Ukraine","1","1","0","0","0","0","0","0","0","0"," 　烏克蘭"," Ukraine","0","0","0","0","0","0","0","0","0","0",
" 　加拿大"," Canada","1","0","0","0","0","0","0","0","0","0"," 　加拿大"," Canada","0","0","0","0","0","0","0","1","0","0",
" 　衣索匹亞"," Ethiopia","1","0","0","0","0","0","0","0","0","0"," 　衣索匹亞"," Ethiopia","0","0","0","0","0","0","0","1","0","0",
" 　不詳"," Unknown","61","4","11","2","2","1","1","17","9","0"," 　不詳"," Unknown","0","4","0","0","0","2","0","6","0","2",
" 資料來源：  勞動部勞動及職業安全衛生研究所。","","","","",""," Source： Institute of Labor, Occupational Safety and Health, MOL.","","","","","",,,,,,,,,,,,,
" 說　　明：  同表13-11說明1及說明2。","","","","",""," Note： See note 1 and note 2 of Table 13-11.","","","","","",,,,,,,,,,,,,
"","","","  -380-","","","","","   -381-","","","","","","","  -382-","","","","","   -383-","","","",
